orderNumber,orderDate,requiredDate,shippedDate,status,customerID,productCode,quantity,priceeach,MyUnknownColumn_[0]
10234,2004-03-30,2004-04-05,2004-04-02,Shipped,412,S72_1253,40,45690,
10234,2004-03-30,2004-04-05,2004-04-02,Shipped,412,S700_2047,29,83280,
10234,2004-03-30,2004-04-05,2004-04-02,Shipped,412,S24_3816,31,78830,
10234,2004-03-30,2004-04-05,2004-04-02,Shipped,412,S24_3420,25,65090,
10234,2004-03-30,2004-04-05,2004-04-02,Shipped,412,S24_2841,44,67140,
10234,2004-03-30,2004-04-05,2004-04-02,Shipped,412,S18_3856,39,85750,
10234,2004-03-30,2004-04-05,2004-04-02,Shipped,412,S18_3029,48,84300,
10234,2004-03-30,2004-04-05,2004-04-02,Shipped,412,S18_1662,50,146650,
10234,2004-03-30,2004-04-05,2004-04-02,Shipped,412,S10_4757,48,118320,
10233,2004-03-29,2004-04-04,2004-04-02,Shipped,328,S700_2610,29,67940,
