orderNumber,orderDate,requiredDate,shippedDate,status,customerID,productCode,quantity,priceeach
10235,2004-04-02,2004-04-12,2004-04-06,Shipped,260,S18_2581,24,81950
10235,2004-04-02,2004-04-12,2004-04-06,Shipped,260,S24_1785,23,89720
10235,2004-04-02,2004-04-12,2004-04-06,Shipped,260,S24_3949,33,55270
10235,2004-04-02,2004-04-12,2004-04-06,Shipped,260,S24_4278,40,63030
10235,2004-04-02,2004-04-12,2004-04-06,Shipped,260,S32_1374,41,90900
10235,2004-04-02,2004-04-12,2004-04-06,Shipped,260,S32_4289,34,66730
10235,2004-04-02,2004-04-12,2004-04-06,Shipped,260,S50_1341,41,37090
10235,2004-04-02,2004-04-12,2004-04-06,Shipped,260,S700_1691,25,88600
10235,2004-04-02,2004-04-12,2004-04-06,Shipped,260,S700_2466,38,92740
10235,2004-04-02,2004-04-12,2004-04-06,Shipped,260,S700_2834,25,116280
